instant,date,season,year,mnth,hour,holiday,weekday,workingday,weather_condition,temperature,feels_like_temperature,humidity,windspeed,casual_users,registered_users,total_rentals,month,month_name,day,hour_category,day_type
1,2011-01-01,Spring,2011,1,0,0,Saturday,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,1,Jan,1,Dini Hari,Hari Libur/Akhir Pekan
2,2011-01-01,Spring,2011,1,1,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,1,Jan,1,Dini Hari,Hari Libur/Akhir Pekan
3,2011-01-01,Spring,2011,1,2,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,1,Jan,1,Dini Hari,Hari Libur/Akhir Pekan
4,2011-01-01,Spring,2011,1,3,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,1,Jan,1,Dini Hari,Hari Libur/Akhir Pekan
5,2011-01-01,Spring,2011,1,4,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,1,Jan,1,Dini Hari,Hari Libur/Akhir Pekan
6,2011-01-01,Spring,2011,1,5,0,Saturday,0,Mist,0.24,0.2576,0.75,0.0896,0,1,1,1,Jan,1,Dini Hari,Hari Libur/Akhir Pekan
7,2011-01-01,Spring,2011,1,6,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,1,Jan,1,Pagi,Hari Libur/Akhir Pekan
8,2011-01-01,Spring,2011,1,7,0,Saturday,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,1,Jan,1,Pagi,Hari Libur/Akhir Pekan
9,2011-01-01,Spring,2011,1,8,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,1,Jan,1,Pagi,Hari Libur/Akhir Pekan
10,2011-01-01,Spring,2011,1,9,0,Saturday,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,1,Jan,1,Pagi,Hari Libur/Akhir Pekan
11,2011-01-01,Spring,2011,1,10,0,Saturday,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,1,Jan,1,Pagi,Hari Libur/Akhir Pekan
12,2011-01-01,Spring,2011,1,11,0,Saturday,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,1,Jan,1,Pagi,Hari Libur/Akhir Pekan
13,2011-01-01,Spring,2011,1,12,0,Saturday,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,1,Jan,1,Siang,Hari Libur/Akhir Pekan
14,2011-01-01,Spring,2011,1,13,0,Saturday,0,Mist,0.46,0.4545,0.72,0.2985,47,47,94,1,Jan,1,Siang,Hari Libur/Akhir Pekan
15,2011-01-01,Spring,2011,1,14,0,Saturday,0,Mist,0.46,0.4545,0.72,0.2836,35,71,106,1,Jan,1,Siang,Hari Libur/Akhir Pekan
16,2011-01-01,Spring,2011,1,15,0,Saturday,0,Mist,0.44,0.4394,0.77,0.2985,40,70,110,1,Jan,1,Siang,Hari Libur/Akhir Pekan
17,2011-01-01,Spring,2011,1,16,0,Saturday,0,Mist,0.42,0.4242,0.82,0.2985,41,52,93,1,Jan,1,Siang,Hari Libur/Akhir Pekan
18,2011-01-01,Spring,2011,1,17,0,Saturday,0,Mist,0.44,0.4394,0.82,0.2836,15,52,67,1,Jan,1,Siang,Hari Libur/Akhir Pekan
19,2011-01-01,Spring,2011,1,18,0,Saturday,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,1,Jan,1,Malam,Hari Libur/Akhir Pekan
20,2011-01-01,Spring,2011,1,19,0,Saturday,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,1,Jan,1,Malam,Hari Libur/Akhir Pekan
21,2011-01-01,Spring,2011,1,20,0,Saturday,0,Mist,0.4,0.4091,0.87,0.2537,11,25,36,1,Jan,1,Malam,Hari Libur/Akhir Pekan
22,2011-01-01,Spring,2011,1,21,0,Saturday,0,Mist,0.4,0.4091,0.87,0.194,3,31,34,1,Jan,1,Malam,Hari Libur/Akhir Pekan
23,2011-01-01,Spring,2011,1,22,0,Saturday,0,Mist,0.4,0.4091,0.94,0.2239,11,17,28,1,Jan,1,Malam,Hari Libur/Akhir Pekan
24,2011-01-01,Spring,2011,1,23,0,Saturday,0,Mist,0.46,0.4545,0.88,0.2985,15,24,39,1,Jan,1,Malam,Hari Libur/Akhir Pekan
25,2011-01-02,Spring,2011,1,0,0,Sunday,0,Mist,0.46,0.4545,0.88,0.2985,4,13,17,1,Jan,2,Dini Hari,Hari Libur/Akhir Pekan
26,2011-01-02,Spring,2011,1,1,0,Sunday,0,Mist,0.44,0.4394,0.94,0.2537,1,16,17,1,Jan,2,Dini Hari,Hari Libur/Akhir Pekan
27,2011-01-02,Spring,2011,1,2,0,Sunday,0,Mist,0.42,0.4242,1.0,0.2836,1,8,9,1,Jan,2,Dini Hari,Hari Libur/Akhir Pekan
28,2011-01-02,Spring,2011,1,3,0,Sunday,0,Mist,0.46,0.4545,0.94,0.194,2,4,6,1,Jan,2,Dini Hari,Hari Libur/Akhir Pekan
29,2011-01-02,Spring,2011,1,4,0,Sunday,0,Mist,0.46,0.4545,0.94,0.194,2,1,3,1,Jan,2,Dini Hari,Hari Libur/Akhir Pekan
30,2011-01-02,Spring,2011,1,6,0,Sunday,0,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,1,Jan,2,Pagi,Hari Libur/Akhir Pekan
31,2011-01-02,Spring,2011,1,7,0,Sunday,0,Mist,0.4,0.4091,0.76,0.194,0,1,1,1,Jan,2,Pagi,Hari Libur/Akhir Pekan
32,2011-01-02,Spring,2011,1,8,0,Sunday,0,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,1,Jan,2,Pagi,Hari Libur/Akhir Pekan
33,2011-01-02,Spring,2011,1,9,0,Sunday,0,Mist,0.38,0.3939,0.76,0.2239,1,19,20,1,Jan,2,Pagi,Hari Libur/Akhir Pekan
34,2011-01-02,Spring,2011,1,10,0,Sunday,0,Mist,0.36,0.3485,0.81,0.2239,7,46,53,1,Jan,2,Pagi,Hari Libur/Akhir Pekan
35,2011-01-02,Spring,2011,1,11,0,Sunday,0,Mist,0.36,0.3333,0.71,0.2537,16,54,70,1,Jan,2,Pagi,Hari Libur/Akhir Pekan
36,2011-01-02,Spring,2011,1,12,0,Sunday,0,Mist,0.36,0.3333,0.66,0.2985,20,73,93,1,Jan,2,Siang,Hari Libur/Akhir Pekan
37,2011-01-02,Spring,2011,1,13,0,Sunday,0,Mist,0.36,0.3485,0.66,0.1343,11,64,75,1,Jan,2,Siang,Hari Libur/Akhir Pekan
38,2011-01-02,Spring,2011,1,14,0,Sunday,0,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,1,Jan,2,Siang,Hari Libur/Akhir Pekan
39,2011-01-02,Spring,2011,1,15,0,Sunday,0,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,1,Jan,2,Siang,Hari Libur/Akhir Pekan
40,2011-01-02,Spring,2011,1,16,0,Sunday,0,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,1,Jan,2,Siang,Hari Libur/Akhir Pekan
41,2011-01-02,Spring,2011,1,17,0,Sunday,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,1,Jan,2,Siang,Hari Libur/Akhir Pekan
42,2011-01-02,Spring,2011,1,18,0,Sunday,0,Mist,0.36,0.3333,0.46,0.3284,10,43,53,1,Jan,2,Malam,Hari Libur/Akhir Pekan
43,2011-01-02,Spring,2011,1,19,0,Sunday,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,1,Jan,2,Malam,Hari Libur/Akhir Pekan
44,2011-01-02,Spring,2011,1,20,0,Sunday,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,1,Jan,2,Malam,Hari Libur/Akhir Pekan
45,2011-01-02,Spring,2011,1,21,0,Sunday,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,1,Jan,2,Malam,Hari Libur/Akhir Pekan
46,2011-01-02,Spring,2011,1,22,0,Sunday,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,1,Jan,2,Malam,Hari Libur/Akhir Pekan
47,2011-01-02,Spring,2011,1,23,0,Sunday,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,1,Jan,2,Malam,Hari Libur/Akhir Pekan
48,2011-01-03,Spring,2011,1,0,0,Monday,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,1,Jan,3,Dini Hari,Hari Kerja
49,2011-01-03,Spring,2011,1,1,0,Monday,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,1,Jan,3,Dini Hari,Hari Kerja
50,2011-01-03,Spring,2011,1,4,0,Monday,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,1,Jan,3,Dini Hari,Hari Kerja
51,2011-01-03,Spring,2011,1,5,0,Monday,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,1,Jan,3,Dini Hari,Hari Kerja
52,2011-01-03,Spring,2011,1,6,0,Monday,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,1,Jan,3,Pagi,Hari Kerja
53,2011-01-03,Spring,2011,1,7,0,Monday,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,1,Jan,3,Pagi,Hari Kerja
54,2011-01-03,Spring,2011,1,8,0,Monday,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,1,Jan,3,Pagi,Hari Kerja
55,2011-01-03,Spring,2011,1,9,0,Monday,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,1,Jan,3,Pagi,Hari Kerja
56,2011-01-03,Spring,2011,1,10,0,Monday,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,1,Jan,3,Pagi,Hari Kerja
57,2011-01-03,Spring,2011,1,11,0,Monday,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,1,Jan,3,Pagi,Hari Kerja
58,2011-01-03,Spring,2011,1,12,0,Monday,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,1,Jan,3,Siang,Hari Kerja
59,2011-01-03,Spring,2011,1,13,0,Monday,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,1,Jan,3,Siang,Hari Kerja
60,2011-01-03,Spring,2011,1,14,0,Monday,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,1,Jan,3,Siang,Hari Kerja
61,2011-01-03,Spring,2011,1,15,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,1,Jan,3,Siang,Hari Kerja
62,2011-01-03,Spring,2011,1,16,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,1,Jan,3,Siang,Hari Kerja
63,2011-01-03,Spring,2011,1,17,0,Monday,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,1,Jan,3,Siang,Hari Kerja
64,2011-01-03,Spring,2011,1,18,0,Monday,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,1,Jan,3,Malam,Hari Kerja
65,2011-01-03,Spring,2011,1,19,0,Monday,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,1,Jan,3,Malam,Hari Kerja
66,2011-01-03,Spring,2011,1,20,0,Monday,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,1,Jan,3,Malam,Hari Kerja
